City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Ust-Kuyga,RU,70.0167,135.6,-18.85,97,100,7.76,overcast clouds
318,Nova Olimpia,BR,-14.7972,-57.2881,79.09,65,83,2.44,broken clouds
319,Abu Dhabi,AE,24.4667,54.3667,68.97,76,0,2.3,clear sky
320,Shaunavon,CA,49.6501,-108.4181,3.11,95,89,10.22,overcast clouds
321,Kita,ML,13.0349,-9.4895,72.39,15,98,5.46,overcast clouds
322,Cravo Norte,CO,6.3017,-70.2041,80.28,67,100,5.41,overcast clouds
323,Kuah,MY,6.3265,99.8432,79.0,82,99,17.36,overcast clouds
324,San Felipe,VE,10.3399,-68.7425,71.06,93,88,3.51,overcast clouds
325,Adrar,MR,20.5022,-10.0711,72.39,14,0,8.16,clear sky
326,Port Hardy,CA,50.6996,-127.4199,37.98,80,34,1.19,scattered clouds
327,Sola,VU,-13.8833,167.55,82.08,72,21,10.47,few clouds
328,Hasaki,JP,35.7333,140.8333,45.21,82,100,9.46,light rain
329,Itarema,BR,-2.9248,-39.9167,79.12,76,62,14.7,broken clouds
330,Hazorasp,UZ,41.3194,61.0742,12.04,37,0,8.57,clear sky
331,Khorramshahr,IR,30.4397,48.1664,62.19,43,75,4.59,broken clouds
332,Batagay,RU,67.6333,134.6333,-25.17,97,100,3.09,overcast clouds
333,Richards Bay,ZA,-28.783,32.0377,70.92,92,100,1.9,overcast clouds
334,Oyama,JP,36.3,139.8,45.59,77,100,3.69,overcast clouds
335,Camocim,BR,-2.9022,-40.8411,79.14,79,48,14.09,scattered clouds
336,Gravdal,NO,68.1214,13.5031,29.61,64,91,8.32,overcast clouds
337,Darabani,RO,48.1833,26.5833,27.21,56,87,6.44,overcast clouds
338,Launceston,AU,-41.45,147.1667,61.61,54,40,19.57,scattered clouds
339,Half Moon Bay,US,37.4636,-122.4286,53.82,74,20,12.66,few clouds
340,Griffith,US,41.5284,-87.4237,39.13,71,100,13.8,overcast clouds
341,Peleduy,RU,59.6289,112.7406,-15.95,95,100,9.13,overcast clouds
342,Oktyabrskoye,RU,43.0645,44.7417,26.74,100,74,4.47,fog
343,Yar-Sale,RU,66.8333,70.8333,-19.41,99,52,7.0,broken clouds
